frame,class,raw_id,stable_id,x,y,w,h,conf
863,person,65,1,664,185,70,140,0.8620267510414124
864,person,65,1,665,187,64,138,0.8592898845672607
865,person,65,1,661,190,62,134,0.8648714423179626
866,person,65,1,658,191,61,134,0.872075617313385
867,person,65,1,654,192,62,136,0.8887752890586853
868,person,65,1,651,193,64,139,0.8701521754264832
869,person,65,1,648,195,64,143,0.865497350692749
870,person,65,1,645,197,66,141,0.8611917495727539
871,person,65,1,642,198,67,147,0.8463216423988342
872,person,65,1,640,199,67,150,0.8539444208145142
873,person,65,1,636,206,68,148,0.8736063838005066
874,person,65,1,633,211,68,146,0.8543558120727539
875,person,65,1,631,212,67,147,0.8721710443496704
876,person,65,1,629,215,66,145,0.8937127590179443
877,person,65,1,627,217,62,144,0.9002726078033447
878,person,65,1,625,219,59,142,0.8912635445594788
879,person,65,1,623,220,57,142,0.8978041410446167
880,person,65,1,622,221,56,140,0.8941192626953125
881,person,65,1,618,222,58,140,0.9026146531105042
882,person,65,1,616,223,59,143,0.8841632008552551
883,person,65,1,614,224,61,151,0.8769724369049072
884,person,65,1,612,225,62,157,0.8848316073417664
885,person,65,1,611,229,63,159,0.890044093132019
886,person,65,1,610,233,64,159,0.8857558965682983
887,person,65,1,610,236,65,161,0.8942487835884094
888,person,65,1,611,239,65,161,0.8757736682891846
889,person,65,1,612,242,66,159,0.8966633081436157
890,person,65,1,613,245,65,156,0.9010292887687683
891,person,65,1,613,247,65,154,0.9053531885147095
892,person,65,1,613,248,64,153,0.9055218696594238
893,person,65,1,611,251,62,150,0.8972525596618652
894,person,65,1,609,253,62,148,0.903028666973114
895,person,65,1,608,255,61,151,0.9125240445137024
896,person,65,1,608,257,60,155,0.8980875015258789
897,person,65,1,607,261,61,161,0.8616921901702881
898,person,65,1,607,264,61,163,0.8653898239135742
899,person,65,1,608,266,60,165,0.8889369964599609
900,person,65,1,609,269,60,166,0.891421914100647
901,person,65,1,611,273,62,165,0.8776205778121948
902,person,65,1,612,276,64,163,0.8847740888595581
903,person,65,1,613,277,65,162,0.8926253914833069
904,person,65,1,615,278,65,162,0.9050593972206116
905,person,65,1,617,280,66,159,0.9001377820968628
906,person,65,1,619,283,67,156,0.8975817561149597
907,person,65,1,620,285,67,154,0.911832869052887
