frame,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z
1,-0.0,-0.0,-0.0,-0.53895175,0.66862404,1.0522183,0.38180465,0.48816016,1.3043263,-0.26033005,-0.041798566,-0.045914236,-0.16176277,0.0687721,-1.0455996,-0.12942766,-0.3263453,-1.8827987,0.05585922,-0.14225529,-2.1447725,0.26033005,0.041798566,0.045914236,0.14877895,-0.2709372,-0.77239734,0.12713414,-1.111606,-1.4848394,0.25733086,-1.0097291,-1.694538
2,-0.0,-0.0,-0.0,-0.5374346,0.710814,1.0506276,0.37870303,0.5042411,1.3009338,-0.2602283,-0.030522063,-0.045929298,-0.16642459,0.08686613,-0.987623,-0.14653443,-0.28949752,-1.841965,0.038356833,-0.085300475,-2.0979395,0.2602283,0.030522063,0.045929298,0.14350633,-0.54283977,-0.7638707,0.116255924,-1.430416,-1.4099094,0.2558989,-1.3234543,-1.6576577
3,-0.0,-0.0,-0.0,-0.52893233,0.7228378,1.0532249,0.3809286,0.50484776,1.3009948,-0.25799677,-0.01141259,-0.04596844,-0.16053075,0.15326387,-0.98327494,-0.14580937,-0.15194002,-1.8442266,0.039054308,0.061505426,-2.1010952,0.25799677,0.01141259,0.04596844,0.14628947,-0.66279536,-0.7482526,0.113630444,-1.6079366,-1.2989686,0.25072128,-1.5366892,-1.5711385
4,-0.0,-0.0,-0.0,-0.52650094,0.7774944,1.0493357,0.38175267,0.5391597,1.2659292,-0.25785574,-0.0050339405,-0.04541716,-0.1605987,0.21666571,-0.9834854,-0.10042889,0.04035494,-1.8744682,0.03837693,0.2837222,-2.1033783,0.25785574,0.0050339405,0.04541716,0.1446667,-0.73167413,-0.72079355,0.08721923,-1.7258368,-1.2254443,0.17815657,-1.6058924,-1.4868034
5,-0.0,-0.0,-0.0,-0.51644915,0.697901,1.0686519,0.3834828,0.49906787,1.2741721,-0.25669256,-0.0055073383,-0.045470327,-0.1515432,0.19884849,-1.0093149,-0.08027158,-0.03809916,-1.9299972,0.0043378933,0.19385172,-2.1316454,0.25669256,0.0055073383,0.045470327,0.15415798,-0.66999257,-0.6424512,0.11131722,-1.63086,-1.1695141,0.1866559,-1.54005,-1.4152637
6,-0.0,-0.0,-0.0,-0.51669896,0.69548726,1.0695205,0.38311243,0.49866542,1.2769966,-0.25676754,-0.013816462,-0.045433335,-0.16127329,0.10984467,-1.0244675,-0.082261294,-0.2623604,-1.926548,-0.038081534,-0.07966205,-2.1360998,0.25676754,0.013816462,0.045433335,0.15174012,-0.6105828,-0.6493874,0.1042555,-1.6179608,-1.0783515,0.121050835,-1.5597758,-1.3225691
7,-0.0,-0.0,-0.0,-0.51543176,0.6994504,1.0690145,0.38200232,0.50759083,1.2741627,-0.25683925,-0.015380448,-0.045756947,-0.17120236,0.12172079,-1.0303755,-0.09312654,-0.25716558,-1.9243981,-0.059889637,-0.06910171,-2.1368697,0.25683925,0.015380448,0.045756947,0.17664404,-0.6694737,-0.59191275,0.20061773,-1.7709465,-0.946612,0.21336275,-1.735264,-1.1695651
8,-0.0,-0.0,-0.0,-0.5292341,0.66442746,1.0773814,0.37608314,0.50530684,1.2796675,-0.25716367,-0.027786493,-0.045394775,-0.19615068,0.108105384,-1.0197372,-0.1338325,-0.48356512,-1.8037654,-0.07572494,-0.41851023,-2.0709352,0.25716367,0.027786493,0.045394775,0.18763624,-0.47404382,-0.5906342,0.21794657,-1.6572697,-0.9338296,0.21936834,-1.6329204,-1.1722925
9,-0.0,-0.0,-0.0,-0.52961624,0.5007903,1.0882076,0.3752828,0.38068542,1.2986412,-0.25876698,-0.047125764,-0.042643208,-0.1988128,0.042183507,-0.9866932,-0.13383058,-0.68912536,-1.6952178,-0.067509726,-0.653042,-1.9703047,0.25876698,0.047125764,0.042643208,0.18410867,-0.36550298,-0.6009084,0.20808055,-1.5740571,-1.0280521,0.22006793,-1.5913858,-1.2651212
10,-0.0,-0.0,-0.0,-0.53083086,0.46145424,1.1090075,0.3681737,0.35487953,1.3058103,-0.25940755,-0.07005749,-0.037566956,-0.20769493,-0.04674408,-0.9290933,-0.13788283,-0.81270236,-1.6461835,-0.072551906,-0.7755992,-1.92619,0.25940755,0.07005749,0.037566956,0.18353778,-0.2803515,-0.63015145,0.2184506,-1.3596021,-1.1794803,0.23307492,-1.3256129,-1.4127023
